USER,SEX,AGE,MARITAL_STATUS,CHILD_QTY,HEIGHT,WEIGHT,SLEEP_HRS,PHYSICAL_ACT,READING,WORK_HRS,WORK_FIELD,SMOKER,LIVING_STYLE,BURNOUT,WORKFROMHOME
1,1,28,1,0,181.8,120,9,40,1,9,Education,1,0,1,YES
39,1,28,1,0,180.55,121,9,41,1,9,Sales and Business Management,1,0,1,YES
77,1,28,0,0,179.3,121,9,42,1,9,Arts and Entertainment,1,0,0,YES
288,1,28,1,0,178.05,122,9,43,1,9,Community and Social Services,1,0,1,YES
329,1,28,0,0,176.8,121,8.5,44,1,9,Government,1,0,0,NO
370,1,28,0,0,175.55,120,8.4,45,1,9.2,Education,1,0,0,NO
411,1,28,1,0,174.3,119,8.3,46,1,9.2,Health and Medicine,1,0,1,NO
452,1,28,0,0,173.05,100,8.3,47,1,9.2,Law and Public Policy,1,0,0,NO
493,1,28,1,0,171.8,100,9,48,0,9.2,Arts and Entertainment,1,0,0,YES
534,1,28,0,0,170.55,99,9,49,0,9.2,Community and Social Services,1,0,1,YES
575,1,28,1,0,169.3,98,9,50,0,9.2,Community and Social Services,0,0,1,YES
616,1,28,1,0,168.05,98,9,51,0,9.2,Community and Social Services,0,1,1,YES
657,0,28,1,0,158,89,6.8,52,0,9.2,"Installation, Repair and Maintenance",0,1,1,NO
698,0,28,1,0,159,90,6.7,53,0,9.2,Sales and Business Management,0,1,0,YES
739,0,28,0,0,159,57,6.6,54,0,9,Education,0,1,1,YES
780,0,28,1,0,150,57,6.5,55,0,9,Architecture and Engineering,0,1,1,NO
821,0,28,1,0,151,57,6.4,56,0,9,Community and Social Services,0,1,1,YES
862,0,28,1,0,152,57,6.3,57,0,9,Education,0,1,1,YES
999,0,28,1,0,153,57,6.2,58,0,9,Government,0,1,1,YES
2,1,29,0,0,166.8,98,8.5,59,0,7,Education,1,1,0,YES
40,1,29,1,0,165.55,98,8.4,60,1,7,Sales and Business Management,0,1,1,NO
78,1,29,0,0,164.3,97,8.3,61,1,7,Education,1,1,1,YES
289,1,29,1,0,163.05,97,8.3,62,1,7,Education,0,0,0,YES
330,1,29,0,0,161.8,97,9,63,1,7.2,"Installation, Repair and Maintenance",1,1,0,NO
371,1,29,1,0,160.55,96,9,64,1,7.2,Education,0,0,0,YES
412,1,29,1,0,159.3,95,9,65,1,7.2,Community and Social Services,0,1,0,NO
453,1,29,1,0,158.05,120,9,66,1,7.2,Education,0,0,0,NO
494,1,29,1,0,156.8,121,8.5,67,1,7.2,Health and Medicine,0,1,1,NO
535,1,29,0,0,173.05,121,8.4,68,1,7.2,Sales and Business Management,0,0,0,YES
576,1,29,1,0,171.8,122,8.3,69,1,7.2,Community and Social Services,1,1,1,YES
617,1,29,1,0,170.55,121,8.3,70,1,7.2,Education,0,0,0,YES
658,0,29,1,0,154,57,6.1,71,0,7.2,Health and Medicine,0,1,1,NO
699,0,29,1,0,155,57,6,72,0,7.2,Health and Medicine,0,1,1,NO
740,0,29,0,0,156,57,5.9,73,0,7.2,Health and Medicine,0,1,1,NO
781,0,29,1,0,157,57,5.8,74,0,7.2,Education,0,1,0,YES
822,0,29,1,0,158,57,5.7,75,0,7.2,Health and Medicine,0,1,1,NO
863,0,29,1,0,190.5,57,5.6,76,0,7.2,Education,0,1,0,YES
1000,0,29,1,0,184,57,5.5,77,0,7.2,Arts and Entertainment,1,1,0,YES
1041,0,29,1,0,183,57,5.4,78,1,7.2,Education,0,1,0,YES
1080,0,29,0,0,182,57,5.3,79,1,7.2,Health and Medicine,0,1,1,NO
1119,0,29,1,0,183,57,5.2,80,1,7,Government,0,1,0,NO
1158,0,29,0,0,182,57,5.1,81,1,7,Education,0,1,1,YES
1197,0,29,0,0,182,57,5,82,1,7,Education,0,0,0,YES
1236,0,29,1,0,181,57,4.9,83,1,7,Education,1,0,0,YES
1275,0,29,1,0,180,57,5.9,84,1,7,Government,1,0,0,YES
3,1,30,1,0,169.3,120,9,85,1,5,Health and Medicine,0,1,1,NO
